plant_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
3.00,.,1.02,1.01,1.02,1.02,1.02,1.02,1.02,1.01,1.02,1.02,1.02
3.00,.,1.02,1.01,1.02,1.02,1.02,1.02,1.02,1.01,1.02,1.02,1.02
3.00,.,19.97,19.95,19.72,19.89,19.68,19.51,19.85,20.20,19.85,0.00,0.00
3.00,.,1.02,1.04,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
3.00,.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.00,0.00,0.00,0.00,0.00,.,.,.,.,.,.,.,.
10.00,5.82,0.00,0.00,0.00,5.82,0.00,0.00,0.00,0.00,0.00,5.82,5.82
10.00,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04
10.00,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04
26.00,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78
26.00,20.14,22.93,20.37,0.00,25.85,24.22,23.62,23.84,23.58,24.81,24.34,24.84
26.00,1.03,1.03,1.03,1.02,1.03,1.03,1.03,1.03,1.03,1.02,1.03,1.03
46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54.00,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82
54.00,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.05,1.05,1.06,1.06,1.05
56.00,.,.,.,.,.,.,.,.,0.00,0.00,0.00,0.00
56.00,.,.,.,.,.,.,.,.,1.02,1.02,1.02,1.03
60.00,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60.00,16.40,16.31,16.32,16.32,16.17,16.25,16.32,16.32,16.42,16.42,16.33,16.32
96.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108.00,1.05,1.07,1.03,1.06,1.08,1.09,1.09,1.06,1.05,1.07,1.05,1.06
108.00,17.31,17.14,17.03,17.07,17.54,17.55,17.97,17.64,17.72,17.14,17.49,17.87
113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113.00,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44
113.00,0.87,0.87,0.86,0.86,0.86,0.86,0.86,0.00,0.86,0.86,1.04,0.86
113.00,18.35,18.52,18.97,18.48,18.70,18.44,16.05,18.48,18.31,18.31,18.26,18.36
116.00,1.02,1.03,1.03,1.02,1.02,1.03,1.03,1.03,1.03,1.02,1.03,1.02
117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117.00,0.00,0.00,1.03,1.02,1.02,1.03,1.03,1.03,1.03,1.02,1.03,1.03
117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117.00,1.02,1.03,1.03,1.02,1.02,1.03,1.03,1.03,1.03,1.02,1.03,1.03
117.00,1.02,1.03,1.03,1.02,1.02,1.03,1.03,1.03,1.03,1.02,0.00,0.00
120.00,5.78,5.78,0.00,5.78,5.78,5.78,5.78,0.00,5.78,0.00,5.78,0.00
120.00,1.03,1.03,1.03,1.02,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.03
120.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126.00,0.00,0.00,1.03,0.00,1.03,1.03,1.03,1.03,0.00,0.00,0.00,0.00
126.00,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
126.00,0.00,0.00,0.00,0.00,0.00,0.00,.,.,.,.,.,.
126.00,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.00,0.00
126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130.00,23.82,24.15,24.50,24.25,24.52,24.82,24.67,24.01,24.46,24.74,24.67,24.51
130.00,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79
130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136.00,0.00,0.00,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02
136.00,23.82,24.08,24.02,24.00,24.43,24.00,23.90,24.15,24.21,23.79,24.00,23.64
136.00,5.67,5.67,5.64,5.73,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64
141.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141.00,1.03,1.03,1.02,1.03,1.02,1.03,1.03,1.03,1.03,1.02,1.03,1.03
141.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141.00,1.03,1.03,0.00,1.03,1.02,1.03,1.03,1.03,1.03,1.02,1.03,1.03
145.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147.00,1.02,1.03,1.02,1.02,1.02,1.03,1.03,0.00,0.00,1.02,0.00,0.00
147.00,1.02,1.03,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.02,1.03,1.02
147.00,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80
147.00,1.02,1.03,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.02,1.03,1.02
148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160.00,1.03,1.03,1.03,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160.00,1.03,1.03,1.03,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.12
160.00,18.02,18.12,18.18,0.00,0.00,18.15,18.03,18.06,18.11,17.97,18.01,17.95
165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165.00,1.04,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.04
165.00,1.04,1.03,1.03,0.00,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.04
165.00,16.75,16.93,17.00,0.00,17.03,17.01,17.00,16.98,17.04,16.98,16.98,16.98
187.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
204.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
219.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
239.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
246.00,5.64,5.74,5.75,5.74,5.74,5.63,5.79,5.73,5.75,5.77,5.68,5.68
246.00,1.06,1.05,1.05,1.05,1.07,1.07,1.04,1.04,1.05,1.04,1.05,1.05
246.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
249.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
260.00,1.04,1.03,1.03,1.03,1.03,1.03,1.04,1.03,1.03,1.03,1.03,1.03
267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
268.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
286.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
298.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
