plant_id,combiFalseed_heat_aFalsed_power_plaFalset,nuclear_unit_id,plant_name,operator_name,operator_id,plant_state,census_region,NERC_region,NAICS_code,EIA_sector_number,sector_name,"reportedprime_code
Prime Mover","
reported_fuel_type_code","AER_fuel_type_code
",balancing_authority_code,physical_unit_label
3,FALSE,Null,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,CA,NG,NG,SOCO,mcf
3,FALSE,Null,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,CT,NG,NG,SOCO,mcf
3,FALSE,Null,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,BIT,COL,SOCO,short tons
3,FALSE,Null,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,NG,NG,SOCO,mcf
3,FALSE,Null,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,SUB,COL,SOCO,short tons
7,TRUE,Null,Gadsden,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,NG,NG,SOCO,mcf
10,FALSE,Null,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,GT,DFO,DFO,SOCO,barrels
10,FALSE,Null,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,GT,NG,NG,SOCO,mcf
10,FALSE,Null,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,NG,NG,SOCO,mcf
26,FALSE,Null,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,GT,DFO,DFO,SOCO,barrels
26,FALSE,Null,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,BIT,COL,SOCO,short tons
26,FALSE,Null,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,NG,NG,SOCO,mcf
46,FALSE,1,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,ST,NUC,NUC,TVA,
46,FALSE,2,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,ST,NUC,NUC,TVA,
46,FALSE,3,Browns Ferry,Tennessee Valley Authority,18642,AL,ESC,SERC,22,1,Electric Utility,ST,NUC,NUC,TVA,
54,FALSE,Null,J K Smith,"East Kentucky Power Coop, Inc",5580,KY,ESC,SERC,22,1,Electric Utility,GT,DFO,DFO,PJM,barrels
54,FALSE,Null,J K Smith,"East Kentucky Power Coop, Inc",5580,KY,ESC,SERC,22,1,Electric Utility,GT,NG,NG,PJM,mcf
56,FALSE,Null,Lowman Energy Center,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,CA,NG,NG,SOCO,mcf
56,FALSE,Null,Lowman Energy Center,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,CT,NG,NG,SOCO,mcf
60,FALSE,Null,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,ST,DFO,DFO,SWPP,barrels
60,FALSE,Null,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,ST,RC,COL,SWPP,short tons
60,FALSE,Null,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,ST,SUB,COL,SWPP,short tons
96,FALSE,Null,Beluga,Chugach Electric Assn Inc,3522,AK,PACN,,22,1,Electric Utility,GT,NG,NG,,mcf
104,FALSE,Null,J S Eastwood,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,PS,WAT,HPS,CISO,megawatthours
108,FALSE,Null,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,22,1,Electric Utility,ST,NG,NG,SWPP,mcf
108,FALSE,Null,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,22,1,Electric Utility,ST,SUB,COL,SWPP,short tons
113,FALSE,Null,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,BIT,COL,AZPS,short tons
113,FALSE,Null,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,DFO,DFO,AZPS,barrels
113,FALSE,Null,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,AZPS,mcf
113,FALSE,Null,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,SUB,COL,AZPS,short tons
116,FALSE,Null,Ocotillo,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,AZPS,mcf
117,FALSE,Null,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CA,NG,NG,AZPS,mcf
117,FALSE,Null,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CS,NG,NG,AZPS,mcf
117,FALSE,Null,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CT,DFO,DFO,AZPS,barrels
117,FALSE,Null,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,CT,NG,NG,AZPS,mcf
117,FALSE,Null,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,AZPS,mcf
120,FALSE,Null,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,AZPS,barrels
120,FALSE,Null,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,AZPS,mcf
120,FALSE,Null,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,AZPS,mcf
120,FALSE,Null,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST,RFO,RFO,AZPS,barrels
126,TRUE,Null,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,TEPC,barrels
126,TRUE,Null,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,TEPC,mcf
126,TRUE,Null,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,IC,NG,NG,TEPC,mcf
126,TRUE,Null,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST,LFG,MLG,TEPC,mcf
126,TRUE,Null,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST,NG,NG,TEPC,mcf
126,TRUE,Null,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST,RFO,RFO,TEPC,barrels
130,FALSE,Null,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,ST,BIT,COL,SC,short tons
130,FALSE,Null,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,ST,DFO,DFO,SC,barrels
130,FALSE,Null,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,ST,PC,PC,SC,short tons
130,FALSE,Null,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,ST,RC,COL,SC,short tons
136,FALSE,Null,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,CA,NG,NG,SEC,mcf
136,FALSE,Null,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,CT,NG,NG,SEC,mcf
136,FALSE,Null,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,ST,BIT,COL,SEC,short tons
136,FALSE,Null,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,ST,DFO,DFO,SEC,barrels
141,FALSE,Null,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,BA,MWH,OTH,SRP,megawatthours
141,FALSE,Null,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,GT,DFO,DFO,SRP,barrels
141,FALSE,Null,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,GT,NG,NG,SRP,mcf
141,FALSE,Null,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,PV,SUN,SUN,SRP,
141,FALSE,Null,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,ST,DFO,DFO,SRP,barrels
