plant_id,total_fuel_consumption_quantity,total_elec_consumption,total_fuel_consumption_MMBtu,total_elec_consumption_MMBtu,net_gen_MWh
3,731969,731969,745016,745016,2087118
3,41502469,41502469,42243702,42243702,4038092
3,825338,825338,16326274,16326274,1529006
3,6696935,6696935,6822871,6822871,597950
3,0,0,0,0,0
7,0,0,0,0,0
10,2138,2138,12437,12437,726
10,1063526,1063526,1097467,1097467,81451
10,13221623,13221623,13638918,13638918,1314083
26,584,584,3376,3376,108
26,774946,774946,18557366,18557366,1745277
26,17916108,17916108,18414561,18414561,1654380
46,0,0,112319939,112319939,10750377
46,0,0,102527676,102527676,9813139
46,0,0,107165075,107165075,10256994
54,1032,1032,6005,6005,462
54,5011555,5011555,5302682,5302682,413607
56,0,0,0,0,459948
56,8496898,8496898,8697144,8697144,881394
60,5154,5154,29656,29656,2725
60,0,0,0,0,0
60,716995,716995,11707795,11707795,1092777
96,108333,108333,108333,108333,525
104,1140,1140,0,0,-1140
108,143991,143991,153726,153726,13711
108,997476,997476,17424366,17424366,1570919
113,0,0,0,0,0
113,3162,3162,17193,17193,1486
113,2157,2157,1941,1941,168
113,1050073,1050073,19039482,19039482,1786052
116,6097092,6097092,6256542,6256542,640869
117,0,0,0,0,566262
117,9560059,9560059,9808164,9808164,1005942
117,0,0,0,0,0
117,16067509,16067509,16492508,16492508,1465352
117,304455,304455,312114,312114,15831
120,1472,1472,8506,8506,771
120,2637218,2637218,2702789,2702789,234466
120,15297,15297,15679,15679,1307
120,0,0,0,0,0
126,0,0,0,0,0
126,10047,6549,10349,6745,586
126,5149167,5149167,5304666,5304666,595072
126,0,0,0,0,0
126,9170305,9076717,9445415,9349019,795280
126,0,0,0,0,0
130,3527656,3527656,86205906,86205906,8418121
130,55056,55056,318776,318776,31113
130,0,0,0,0,0
130,0,0,0,0,0
136,0,0,0,0,2022422
136,37204617,37204617,38023656,38023656,3970634
136,1725826,1725826,41402133,41402133,3870160
136,34017,34017,192301,192301,17624
141,30545,30545,0,0,-6452
141,0,0,0,0,0
141,248440,248440,255227,255227,21024
141,0,0,0,0,0
141,0,0,0,0,0
141,1498772,1498772,1539620,1539620,137508
145,0,0,75950,75950,22207
145,43429,43429,0,0,105367
147,160670,160670,164668,164668,465991
147,8906180,8906180,9135998,9135998,788493
147,363,363,2106,2106,68
147,68987,68987,70882,70882,3959
148,0,0,59357,59357,17388
148,17358,17358,0,0,50442
153,0,0,11475085,11475085,3363155
154,0,0,4250371,4250371,1245713
160,0,0,0,0,0
160,3230909,3230909,3324700,3324700,261671
160,0,0,0,0,0
160,12987218,12987218,13490759,13490759,1205714
160,316485,316485,5714190,5714190,514992
165,0,0,0,0,917298
165,18420303,18420303,18930259,18930259,1953390
165,627239,627239,644365,644365,44524
165,528543,528543,8976071,8976071,701813
187,0,0,343015,343015,100532
187,0,0,0,0,100532
204,0,0,84645811,84645811,8101628
210,0,0,107633887,107633887,10301865
219,0,0,777206,777206,227786
223,0,0,1480885,1480885,434023
239,0,0,1342721,1342721,393529
240,0,0,1704951,1704951,499693
246,2492,2492,14266,14266,1631
246,3531300,3531300,3711422,3711422,424339
246,0,0,0,0,0
249,0,0,1331120,1331120,390129
260,689738,689738,0,0,-107414
260,0,0,0,0,1880107
260,36941105,36941105,38082635,38082635,3564145
267,0,0,1379089,1379089,404188
268,0,0,2388787,2388787,700113
270,0,0,937285,937285,274702
272,0,0,2213267,2213267,648672
275,0,0,1634095,1634095,478926
286,0,0,15352675,15352675,4499612
298,0,0,0,0,0
298,454384,454384,461696,461696,37216
298,0,0,0,0,0
298,4479147,4479147,73661022,73661022,6022031
315,8254190,8254190,8489242,8489242,598254
319,0,0,1289770,1289770,377227
320,0,0,1537814,1537814,450605
322,0,0,1726634,1726634,506047
335,1852660,1852660,1917060,1917060,167370
344,0,0,1533096,1533096,449030
350,3067987,3067987,3187555,3187555,256738
356,4695850,4695850,4857379,4857379,256221
358,641266,641266,673330,673330,1026566
358,18980764,18980764,19929802,19929802,1525899
371,0,0,88129069,88129069,8435018
377,0,0,0,0,0
377,94,94,98,98,0
377,249633,249633,258053,258053,24903
377,0,0,0,0,0
377,113191,113191,117161,117161,7821
380,0,0,2002229,2002229,586820
381,0,0,1039537,1039537,304671
382,0,0,1616931,1616931,473895
384,7460488,7460488,7784375,7784375,707790
384,0,0,0,0,0
389,7425,7425,0,0,-2611
389,0,0,0,0,0
389,0,0,0,0,306218
389,0,0,0,0,0
389,7505657,7505657,7703475,7703475,644247
389,1717581,1717581,1759691,1759691,139084
389,0,0,0,0,0
392,0,0,0,0,0
392,601588,601588,0,0,136341
